"gene.name"	"DE"	"in.module"	"Coarse.module"	"Fine.module"
"1"	"0610005c13rik"	FALSE	FALSE	NA	NA
"2"	"0610007p14rik"	TRUE	FALSE	3	24
"3"	"0610009b22rik"	FALSE	FALSE	NA	NA
"4"	"0610009e02rik"	FALSE	FALSE	NA	NA
"5"	"0610009l18rik"	TRUE	FALSE	NA	NA
"6"	"0610009o20rik"	FALSE	FALSE	NA	NA
"7"	"0610010f05rik"	FALSE	FALSE	47	247
"8"	"0610010k14rik"	FALSE	FALSE	NA	NA
"9"	"0610011f06rik"	TRUE	FALSE	NA	NA
"10"	"0610012d04rik"	FALSE	FALSE	NA	NA
"11"	"0610012g03rik"	FALSE	FALSE	NA	NA
"12"	"0610025j13rik"	FALSE	FALSE	NA	NA
"13"	"0610030e20rik"	FALSE	FALSE	NA	NA
"14"	"0610031o16rik"	FALSE	FALSE	NA	NA
"15"	"0610037l13rik"	FALSE	FALSE	NA	NA
"16"	"0610038b21rik"	FALSE	FALSE	NA	NA
"17"	"0610039k10rik"	FALSE	FALSE	NA	NA
"18"	"0610040b10rik"	FALSE	FALSE	NA	NA
"19"	"0610040f04rik"	FALSE	FALSE	NA	NA
"20"	"0610040j01rik"	FALSE	FALSE	NA	NA
"21"	"0610043k17rik"	FALSE	FALSE	NA	NA
"22"	"1010001b22rik"	FALSE	FALSE	NA	NA
"23"	"1010001n08rik"	FALSE	FALSE	NA	NA
"24"	"1110001j03rik"	FALSE	FALSE	NA	NA
"25"	"1110002e22rik"	FALSE	FALSE	NA	NA
"26"	"1110002j07rik"	FALSE	FALSE	NA	NA
"27"	"1110002l01rik"	FALSE	FALSE	NA	NA
"28"	"1110004e09rik"	FALSE	FALSE	NA	NA
"29"	"1110004f10rik"	FALSE	FALSE	NA	NA
"30"	"1110007c09rik"	FALSE	FALSE	25	132
"31"	"1110008e08rik"	FALSE	FALSE	NA	NA
"32"	"1110008f13rik"	FALSE	FALSE	30	166
"33"	"1110008l16rik"	FALSE	FALSE	2	16
"34"	"1110008p14rik"	FALSE	FALSE	NA	NA
"35"	"1110012l19rik"	FALSE	FALSE	NA	NA
"36"	"1110015o18rik"	FALSE	FALSE	NA	NA
"37"	"1110017d15rik"	FALSE	FALSE	NA	NA
"38"	"1110018n20rik"	FALSE	FALSE	NA	NA
"39"	"1110019d14rik"	FALSE	FALSE	NA	NA
"40"	"1110020a21rik"	FALSE	FALSE	NA	NA
"41"	"1110025l11rik"	FALSE	FALSE	NA	NA
"42"	"1110028f11rik"	FALSE	FALSE	NA	NA
"43"	"1110028f18rik"	FALSE	FALSE	NA	NA
"44"	"1110032a03rik"	FALSE	FALSE	44	219
"45"	"1110032f04rik"	FALSE	FALSE	NA	NA
"46"	"1110034g24rik"	FALSE	FALSE	NA	NA
"47"	"1110036e04rik"	FALSE	FALSE	NA	NA
"48"	"1110037f02rik"	FALSE	FALSE	1	6
"49"	"1110038b12rik"	FALSE	FALSE	NA	NA
"50"	"1110038f14rik"	FALSE	FALSE	NA	NA
"51"	"1110046j04rik"	FALSE	FALSE	NA	NA
"52"	"1110051m20rik"	FALSE	FALSE	NA	NA
"53"	"1110054m08rik"	FALSE	FALSE	NA	NA
"54"	"1110057k04rik"	FALSE	FALSE	NA	NA
"55"	"1110057p08rik"	FALSE	FALSE	NA	NA
"56"	"1110058l19rik"	TRUE	FALSE	NA	NA
"57"	"1110059e24rik"	FALSE	FALSE	25	141
"58"	"1110059g10rik"	FALSE	FALSE	3	23
"59"	"1110065p20rik"	FALSE	FALSE	NA	NA
"60"	"1190002f15rik"	TRUE	FALSE	NA	NA
"61"	"1190002n15rik"	FALSE	FALSE	56	290
"62"	"1190003k10rik"	FALSE	FALSE	NA	NA
"63"	"1190005i06rik"	FALSE	FALSE	NA	NA
"64"	"1190007i07rik"	FALSE	FALSE	NA	NA
"65"	"1200007c13rik"	FALSE	FALSE	NA	NA
"66"	"1200014j11rik"	FALSE	FALSE	NA	NA
"67"	"1300002e11rik"	FALSE	FALSE	NA	NA
"68"	"1300017j02rik"	FALSE	FALSE	NA	NA
"69"	"1500002c15rik"	FALSE	FALSE	NA	NA
"70"	"1500004a13rik"	TRUE	FALSE	NA	NA
"71"	"1500009c09rik"	FALSE	FALSE	NA	NA
"72"	"1500009l16rik"	FALSE	FALSE	NA	NA
"73"	"1500011b03rik"	FALSE	FALSE	NA	NA
"74"	"1500011k16rik"	FALSE	FALSE	NA	NA
"75"	"1500012f01rik"	FALSE	FALSE	8	51
