gene module_id
Lypla1 MH_07
Tcea1 MH_09
Atp6v1h MH_04
Oprk1 MH_21
Rb1cc1 MH_27
Fam150a MH_24
St18 grey
Pcmtd1 MH_12
Rrs1 MH_02
C8orf46 MH_02
Sgk3 MH_10
C8orf45 MH_15
Cspp1 MH_04
Prex2 MH_21
C8orf34 MH_21
Sulf1 MH_21
Xkr9 MH_24
Msc MH_01
Kcnb2 MH_23
Terf1 MH_01
Rdh10 MH_02
Tmem70 MH_03
Ly96 MH_04
Gdap1 MH_14
Pi15 MH_27
Crispld1 MH_21
Tfap2d MH_14
Tfap2b MH_24
Il17a MH_28
Paqr8 MH_17
Efhc1 MH_14
Tmem14a MH_04
Khdc1l MH_28
Kcnq5 MH_30
B3gat2 MH_22
Col9a1 MH_21
Lmbrd1 MH_27
Lgsn grey
Cxorf41 MH_21
Khdrbs2 MH_24
Rab23 MH_01
Ptpn18 MH_03
Cfc1 MH_22
Fam123c MH_20
Plekhb2 MH_07
Hs6st1 MH_14
Arid5a MH_27
Cnnm4 MH_27
Cnnm3 MH_27
Loc728537 grey
Zap70 MH_06
Vwa3b MH_14
Cnga3 MH_14
Inpp4a MH_06
Unc50 MH_09
Lipt1 MH_14
Eif5b MH_02
Nms MH_24
Pdcl3 MH_04
Npas2 MH_04
C2orf29 MH_06
Map4k4 MH_27
Il1r2 MH_27
Il1r1 MH_28
Il1rl2 MH_27
Il1rl1 MH_27
Il18r1 MH_07
Il18rap MH_28
Slc9a4 MH_22
Slc9a2 MH_14
Tmem182 MH_24
Pou3f3 MH_24
Mrps9 MH_02
Gpr45 grey
C2orf49 MH_27
Rpl29 MH_02
Nck2 MH_27
C2orf40 MH_24
Tpp2 MH_27
Bivm MH_03
Ercc5 MH_02
Gulp1 grey
Col3a1 MH_29
Wdr75 MH_02
Tmeff2 MH_21
Sdpr MH_27
Stat4 MH_27
Stat1 MH_14
Tmem194b MH_27
Hibch MH_03
Mstn MH_15
Ormdl1 MH_03
Osgepl1 MH_04
Ccdc150 MH_21
Coq10b MH_29
Mob4 MH_27
Rftn2 MH_19
Mars2 MH_14
Plcl1 MH_04
C2orf69 MH_04
C2orf47 MH_04
Spats2l MH_21
Sgol2 MH_01
Aox1 MH_25
Aox2p MH_24
Bzw1 MH_09
Nif3l1 MH_06
Ndufb3 MH_02
Cbx3 MH_01
Cflar MH_30
Casp8 MH_17
Stradb MH_02
Cdk15 MH_24
Fzd7 MH_21
Nop58 MH_02
Snord70 MH_11
Snord11 MH_24
Bmpr2 MH_09
Fam117b MH_07
Als2cr8 MH_17
Nbeal1 MH_17
Cyp20a1 MH_04
Abi2 MH_07
Cd28 MH_07
Ctla4 MH_29
Icos MH_27
Pard3b MH_25
Nrp2 MH_21
Eef1b2 MH_02
Snora41 MH_25
Zdbf2 MH_20
Adam23 MH_02
Fastkd2 MH_02
Klf7 MH_12
Creb1 MH_17
Ccnyl1 MH_02
Pikfyve MH_17
Pth2r MH_23
Unc80 MH_20
Rpe MH_04
Spag16 MH_01
Vwc2l MH_22
Atic MH_16
Tmem169 MH_21
Xrcc5 MH_04
Smarcal1 MH_02
Rpl37a MH_03
Rufy4 MH_23
Cxcr2 MH_24
Arpc2 MH_07
Gpbar1 MH_27
Pnkd MH_08
C2orf62 grey
Slc11a1 MH_12
Ctdsp1 MH_04
Rqcd1 MH_01
Bcs1l MH_02
Stk36 MH_21
Ttll4 MH_28
Wnt6 MH_25
Wnt10a MH_28
Cdk5r2 MH_21
Fam134a MH_18
Zfand2b MH_24
Ankzf1 MH_02
Stk16 MH_04
Dnajb2 MH_11
Des MH_23
Speg MH_23
Gmppa MH_03
Accn4 MH_22
Tmem198 MH_27
Inha MH_20
Stk11ip MH_25
Slc4a3 MH_27
Sgpp2 MH_17
Kcne4 MH_24
Kiaa1486 MH_23
Irs1 MH_14
Rhbdd1 MH_03
Col4a3 MH_25
Agfg1 MH_31
Ccl20 MH_28
