"","X","probeset_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","transcript_cluster_id","seqname","strand","start","stop","total_probes","gene_assignment","mrna_assignment","swissprot","unigene","GO_biological_process","GO_cellular_component","GO_molecular_function","pathway","protein_domains","crosshyb_type","category"
"1",19555,17350573,2.00446398643096,8.25152691815023,16.6656214447422,2.14056463568505e-06,0.0885016448623984,1.61036937002495,17350573,"chr18","+",52490980,52491931,21,"XR_108178.1 // LOC100505101 // PREDICTED: Mus musculus uncharacterized LOC100505101 (LOC100505101), miscRNA. // --- // ---","XR_108178.1 // blat // PREDICTED: Mus musculus uncharacterized LOC100505101 (LOC100505101), miscRNA. // chr18 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",1,"main"
"2",12584,17284463,-2.31717707418638,5.70813945556353,-11.7966279318825,1.73086340742592e-05,0.221118876670922,1.56619429624287,17284463,"chr12","-",114153184,114153644,9,"ENSMUST00000103474 // Ighv7-3 // immunoglobulin heavy variable 7-3 [Source:MGI Symbol;Acc:MGI:4439766] // --- // ---","ENSMUST00000103474 // ensGene // immunoglobulin heavy variable 7-3 [Source:MGI Symbol;Acc:MGI:4439766] // chr12 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",3,"main"
"3",28446,17440130,-1.36182061765099,7.81329717105524,-11.7200439270021,1.79965879719229e-05,0.221118876670922,1.56506598165793,17440130,"chr5","+",107904555,107904648,24,"ENSMUST00000082519 // Snord21 // small nucleolar RNA, C/D box 21 [Source:MGI Symbol;Acc:MGI:102855] // --- // ---","ENSMUST00000082519 // ensGene // small nucleolar RNA, C/D box 21 [Source:MGI Symbol;Acc:MGI:102855] // chr5 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",1,"main"
"4",21793,17372255,-1.38941926337961,7.94012213439943,-10.4228916936551,3.61828427524868e-05,0.221118876670922,1.54236429177113,17372255,"chr2","+",76722776,76786708,20,"ENSMUST00000156809 // Gm13938 // predicted gene 13938 [Source:MGI Symbol;Acc:MGI:3651046] // --- // ---","ENSMUST00000156809 // ensGene // predicted gene 13938 [Source:MGI Symbol;Acc:MGI:3651046] // chr2 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",1,"main"
"5",20894,17363320,1.18425632748335,7.13683771447225,9.84097388859092,5.08016815044852e-05,0.262549440225368,1.52944448448572,17363320,"chr19","-",17326141,17372844,21,"NM_010265.3 // Gcnt1 // Mus musculus glucosaminyl (N-acetyl) transferase 1, core 2 (Gcnt1), transcript variant 3, mRNA. // --- // --- /// NM_173442.3 // Gcnt1 // Mus musculus glucosaminyl (N-acetyl) transferase 1, core 2 (Gcnt1), transcript variant 1, mRNA. // --- // --- /// NM_001136484.1 // Gcnt1 // Mus musculus glucosaminyl (N-acetyl) transferase 1, core 2 (Gcnt1), transcript variant 2, mRNA. // --- // --- /// ENSMUST00000067276 // Gcnt1 // glucosaminyl (N-acetyl) transferase 1, core 2 [Source:MGI Symbol;Acc:MGI:95676] // --- // --- /// ENSMUST00000168606 // Gcnt1 // glucosaminyl (N-acetyl) transferase 1, core 2 [Source:MGI Symbol;Acc:MGI:95676] // --- // --- /// ENSMUST00000169897 // Gcnt1 // glucosaminyl (N-acetyl) transferase 1, core 2 [Source:MGI Symbol;Acc:MGI:95676] // --- // --- /// ENSMUST00000174236 // Gcnt1 // glucosaminyl (N-acetyl) transferase 1, core 2 [Source:MGI Symbol;Acc:MGI:95676] // --- // ---","NM_010265.3 // blat // Mus musculus glucosaminyl (N-acetyl) transferase 1, core 2 (Gcnt1), transcript variant 3, mRNA. // chr19 // --- // --- // --- // --- // --- /// NM_173442.3 // blat // Mus musculus glucosaminyl (N-acetyl) transferase 1, core 2 (Gcnt1), transcript variant 1, mRNA. // chr19 // --- // --- // --- // --- // --- /// NM_001136484.1 // blat // Mus musculus glucosaminyl (N-acetyl) transferase 1, core 2 (Gcnt1), transcript variant 2, mRNA. // chr19 // --- // --- // --- // --- // --- /// ENSMUST00000067276 // ensGene // glucosaminyl (N-acetyl) transferase 1, core 2 [Source:MGI Symbol;Acc:MGI:95676] // chr19 // --- // --- // --- // --- // --- /// ENSMUST00000168606 // ensGene // glucosaminyl (N-acetyl) transferase 1, core 2 [Source:MGI Symbol;Acc:MGI:95676] // chr19 // --- // --- // --- // --- // --- /// ENSMUST00000169897 // ensGene // glucosaminyl (N-acetyl) transferase 1, core 2 [Source:MGI Symbol;Acc:MGI:95676] // chr19 // --- // --- // --- // --- // --- /// ENSMUST00000174236 // ensGene // glucosaminyl (N-acetyl) transferase 1, core 2 [Source:MGI Symbol;Acc:MGI:95676] // chr19 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",1,"main"
"6",36997,17523158,1.55355896015639,6.31405501245872,9.45905033389416,6.41070726860789e-05,0.284421065431631,1.51978127404327,17523158,"chr9","+",120092133,120094906,16,"NM_007720.2 // Ccr8 // Mus musculus chemokine (C-C motif) receptor 8 (Ccr8), mRNA. // --- // --- /// ENSMUST00000048777 // Ccr8 // chemokine (C-C motif) receptor 8 [Source:MGI Symbol;Acc:MGI:1201402] // --- // ---","NM_007720.2 // blat // Mus musculus chemokine (C-C motif) receptor 8 (Ccr8), mRNA. // chr9 // --- // --- // --- // --- // --- /// ENSMUST00000048777 // ensGene // chemokine (C-C motif) receptor 8 [Source:MGI Symbol;Acc:MGI:1201402] // chr9 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",1,"main"
"7",14390,17299972,2.13752156701427,8.42091311210821,9.34587810367637,6.87921309545606e-05,0.284421065431631,1.51671346804611,17299972,"chr14","+",53390570,53391142,9,"ENSMUST00000103636 // Trav7-2 // T cell receptor alpha variable 7-2 [Source:MGI Symbol;Acc:MGI:3649607] // --- // ---","ENSMUST00000103636 // ensGene // T cell receptor alpha variable 7-2 [Source:MGI Symbol;Acc:MGI:3649607] // chr14 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",3,"main"
"8",21727,17371574,-1.47268746162675,6.3207971673548,-8.6160437540699,0.000110484510493503,0.332137434811801,1.49431673460211,17371574,"chr2","+",70038911,70429198,28,"ENSMUST00000140978 // Gm13631 // predicted gene 13631 [Source:MGI Symbol;Acc:MGI:3650760] // --- // --- /// NM_177376.4 // Myo3b // Mus musculus myosin IIIB (Myo3b), mRNA. // --- // --- /// ENSMUST00000060208 // Myo3b // myosin IIIB [Source:MGI Symbol;Acc:MGI:2448580] // --- // --- /// ENSMUST00000100044 // Myo3b // myosin IIIB [Source:MGI Symbol;Acc:MGI:2448580] // --- // --- /// ENSMUST00000112243 // Myo3b // myosin IIIB [Source:MGI Symbol;Acc:MGI:2448580] // --- // --- /// ENSMUST00000112241 // Myo3b // myosin IIIB [Source:MGI Symbol;Acc:MGI:2448580] // --- // ---","ENSMUST00000140978 // ensGene // predicted gene 13631 [Source:MGI Symbol;Acc:MGI:3650760] // chr2 // --- // --- // --- // --- // --- /// NM_177376.4 // blat // Mus musculus myosin IIIB (Myo3b), mRNA. // chr2 // --- // --- // --- // --- // --- /// ENSMUST00000060208 // ensGene // myosin IIIB [Source:MGI Symbol;Acc:MGI:2448580] // chr2 // --- // --- // --- // --- // --- /// ENSMUST00000100044 // ensGene // myosin IIIB [Source:MGI Symbol;Acc:MGI:2448580] // chr2 // --- // --- // --- // --- // --- /// ENSMUST00000112243 // ensGene // myosin IIIB [Source:MGI Symbol;Acc:MGI:2448580] // chr2 // --- // --- // --- // --- // --- /// ENSMUST00000112241 // ensGene // myosin IIIB [Source:MGI Symbol;Acc:MGI:2448580] // chr2 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",1,"main"
"9",6671,17225253,-1.050214698924,5.91851253826501,-8.58399832439698,0.000112896233090508,0.332137434811801,1.49321764754185,17225253,"chr1","-",87386284,87394729,21,"NM_001110227.1 // Kcnj13 // Mus musculus potassium inwardly-rectifying channel, subfamily J, member 13 (Kcnj13), mRNA. // --- // --- /// ENSMUST00000113212 // Kcnj13 // potassium inwardly-rectifying channel, subfamily J, member 13 [Source:MGI Symbol;Acc:MGI:3781032] // --- // --- /// ENSMUST00000174179 // Kcnj13 // potassium inwardly-rectifying channel, subfamily J, member 13 [Source:MGI Symbol;Acc:MGI:3781032] // --- // ---","NM_001110227.1 // blat // Mus musculus potassium inwardly-rectifying channel, subfamily J, member 13 (Kcnj13), mRNA. // chr1 // --- // --- // --- // --- // --- /// ENSMUST00000113212 // ensGene // potassium inwardly-rectifying channel, subfamily J, member 13 [Source:MGI Symbol;Acc:MGI:3781032] // chr1 // --- // --- // --- // --- // --- /// ENSMUST00000174179 // ensGene // potassium inwardly-rectifying channel, subfamily J, member 13 [Source:MGI Symbol;Acc:MGI:3781032] // chr1 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",1,"main"
"10",25002,17404888,1.62928134831397,6.19511669209483,8.3419174396464,0.000133203589916174,0.332137434811801,1.48455782453136,17404888,"chr3","-",37222759,37232618,21,"NM_021782.2 // Il21 // Mus musculus interleukin 21 (Il21), mRNA. // --- // --- /// ENSMUST00000029273 // Il21 // interleukin 21 [Source:MGI Symbol;Acc:MGI:1890474] // --- // --- /// ENSMUST00000161015 // Il21 // interleukin 21 [Source:MGI Symbol;Acc:MGI:1890474] // --- // ---","NM_021782.2 // blat // Mus musculus interleukin 21 (Il21), mRNA. // chr3 // --- // --- // --- // --- // --- /// ENSMUST00000029273 // ensGene // interleukin 21 [Source:MGI Symbol;Acc:MGI:1890474] // chr3 // --- // --- // --- // --- // --- /// ENSMUST00000161015 // ensGene // interleukin 21 [Source:MGI Symbol;Acc:MGI:1890474] // chr3 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",1,"main"
