"","X","probeset_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","transcript_cluster_id","seqname","strand","start","stop","total_probes","gene_assignment","mrna_assignment","swissprot","unigene","GO_biological_process","GO_cellular_component","GO_molecular_function","pathway","protein_domains","crosshyb_type","category"
"1",40481,17549014,-6.28627495254383,7.74527621523031,-37.8387286753114,1.24445788606457e-08,0.000171507037664465,3.48387629631427,17549014,"RPTR-AB076373-2","+",1,720,25,"RPTR-AB076373-2 // egfp // /FEA=CDS_2 /DB_XREF=BAC00956.1 GI:21623750 /PROD=EGFP /GEN=egfp // --- // ---","RPTR-AB076373-2 // other // /FEA=CDS_2 /DB_XREF=BAC00956.1 GI:21623750 /PROD=EGFP /GEN=egfp // RPTR-AB076373-2 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",3,"reporter"
"2",40542,17549136,-6.28627495254383,7.74527621523031,-37.8387286753114,1.24445788606457e-08,0.000171507037664465,3.48387629631427,17549136,"RPTR-U43284-1","+",1,720,25,"RPTR-U43284-1 // gfp // /FEA=CDS /DB_XREF=AAC53659.1 GI:1289375 /PROD=green fluorescent protein, S65T variant /GEN=gfp // --- // ---","RPTR-U43284-1 // other // /FEA=CDS /DB_XREF=AAC53659.1 GI:1289375 /PROD=green fluorescent protein, S65T variant /GEN=gfp // RPTR-U43284-1 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",3,"reporter"
"3",40548,17549148,-6.28627495254383,7.74527621523031,-37.8387286753114,1.24445788606457e-08,0.000171507037664465,3.48387629631427,17549148,"RPTR-U57609-1","+",1,720,25,"RPTR-U57609-1 // egfp // /FEA=CDS_1 /DB_XREF=AAB08064.1 GI:1373325 /PROD=Enhanced Green Fluorescent Protein /GEN=egfp // --- // ---","RPTR-U57609-1 // other // /FEA=CDS_1 /DB_XREF=AAB08064.1 GI:1373325 /PROD=Enhanced Green Fluorescent Protein /GEN=egfp // RPTR-U57609-1 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",3,"reporter"
"4",40483,17549018,-5.43505721249284,6.12678902671968,-23.9742610533015,2.12930147678429e-07,0.00176912855996531,3.20620406644265,17549018,"RPTR-AF062997-1","+",1,558,25,"RPTR-AF062997-1 // --- // /FEA=CDS /DB_XREF=GI:3142439 /DEF=Retrotransposon vector pVLIBAG, complete sequence: IRES; internal ribosome entry sequence from encephalomyocarditis virus. /NOTE=(1205-1762) // --- // ---","RPTR-AF062997-1 // other // /FEA=CDS /DB_XREF=GI:3142439 /DEF=Retrotransposon vector pVLIBAG, complete sequence: IRES; internal ribosome entry sequence from encephalomyocarditis virus. /NOTE=(1205-1762) // RPTR-AF062997-1 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",1,"reporter"
"5",40510,17549072,-4.56194473032416,7.45710915887993,-23.9558508159468,2.13947098798562e-07,0.00176912855996531,3.20552187267534,17549072,"RPTR-AY189981-1","+",1,729,29,"RPTR-AY189981-1 // YFP // /FEA=CDS_1 /DB_XREF=AAO48591.1 GI:28864238 /PROD=yellow fluorescent protein /NOTE=YFP reporter /GEN=YFP // --- // ---","RPTR-AY189981-1 // other // /FEA=CDS_1 /DB_XREF=AAO48591.1 GI:28864238 /PROD=yellow fluorescent protein /NOTE=YFP reporter /GEN=YFP // RPTR-AY189981-1 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",3,"reporter"
"6",37715,17530881,-3.62753318366268,7.65933180222855,-20.7321280459827,5.23618802882918e-07,0.00360816990086571,3.06009383960365,17530881,"chr9","-",107300380,107301838,24,"ENSMUST00000163196 // Gm17041 // predicted gene 17041 [Source:MGI Symbol;Acc:MGI:4937868] // --- // ---","ENSMUST00000163196 // ensGene // predicted gene 17041 [Source:MGI Symbol;Acc:MGI:4937868] // chr9 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",1,"main"
"7",40507,17549066,-4.2881039581648,6.58003237931348,-16.0413480996036,2.54168461817849e-06,0.0150122786483699,2.70260057984726,17549066,"RPTR-AJ510163-3","+",1,795,30,"RPTR-AJ510163-3 // yfp // /FEA=CDS_3 /DB_XREF=CAD53302.1 GI:23821194 REMTREMBL:CAD53302 /PROD=yellow fluorescent protein /GEN=yfp // --- // ---","RPTR-AJ510163-3 // other // /FEA=CDS_3 /DB_XREF=CAD53302.1 GI:23821194 REMTREMBL:CAD53302 /PROD=yellow fluorescent protein /GEN=yfp // RPTR-AJ510163-3 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",3,"reporter"
"8",24835,17403205,-2.32734291317571,3.92390793623233,-11.9709489564387,1.50886579665644e-05,0.0742848441756205,2.09943818006878,17403205,"chr3","+",142496900,142522344,18,"ENSMUST00000045254 // Gbp5 // guanylate binding protein 5 [Source:MGI Symbol;Acc:MGI:2429943] // --- // --- /// NM_153564.2 // Gbp5 // Mus musculus guanylate binding protein 5 (Gbp5), mRNA. // --- // --- /// ENSMUST00000065526 // Gbp5 // guanylate binding protein 5 [Source:MGI Symbol;Acc:MGI:2429943] // --- // --- /// ENSMUST00000090127 // Gbp5 // guanylate binding protein 5 [Source:MGI Symbol;Acc:MGI:2429943] // --- // --- /// ENSMUST00000165451 // Gbp5 // guanylate binding protein 5 [Source:MGI Symbol;Acc:MGI:2429943] // --- // ---","ENSMUST00000045254 // ensGene // guanylate binding protein 5 [Source:MGI Symbol;Acc:MGI:2429943] // chr3 // --- // --- // --- // --- // --- /// NM_153564.2 // blat // Mus musculus guanylate binding protein 5 (Gbp5), mRNA. // chr3 // --- // --- // --- // --- // --- /// ENSMUST00000065526 // ensGene // guanylate binding protein 5 [Source:MGI Symbol;Acc:MGI:2429943] // chr3 // --- // --- // --- // --- // --- /// ENSMUST00000090127 // ensGene // guanylate binding protein 5 [Source:MGI Symbol;Acc:MGI:2429943] // chr3 // --- // --- // --- // --- // --- /// ENSMUST00000165451 // ensGene // guanylate binding protein 5 [Source:MGI Symbol;Acc:MGI:2429943] // chr3 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",1,"main"
"9",25068,17405458,-2.72769308556644,8.28182905183655,-11.8132690033664,1.63441627253467e-05,0.0742848441756205,2.06654603241332,17405458,"chr3","-",59096448,59101821,20,"NM_173398.3 // Gpr171 // Mus musculus G protein-coupled receptor 171 (Gpr171), mRNA. // --- // --- /// ENSMUST00000085040 // Gpr171 // G protein-coupled receptor 171 [Source:MGI Symbol;Acc:MGI:2442043] // --- // ---","NM_173398.3 // blat // Mus musculus G protein-coupled receptor 171 (Gpr171), mRNA. // chr3 // --- // --- // --- // --- // --- /// ENSMUST00000085040 // ensGene // G protein-coupled receptor 171 [Source:MGI Symbol;Acc:MGI:2442043] // chr3 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",1,"main"
"10",10966,17268972,-2.48099747924188,6.76317349294827,-11.6289908655038,1.79670683699651e-05,0.0742848441756205,2.02689537895642,17268972,"chr11","-",99144196,99155077,16,"NM_007719.2 // Ccr7 // Mus musculus chemokine (C-C motif) receptor 7 (Ccr7), mRNA. // --- // --- /// ENSMUST00000103134 // Ccr7 // chemokine (C-C motif) receptor 7 [Source:MGI Symbol;Acc:MGI:103011] // --- // ---","NM_007719.2 // blat // Mus musculus chemokine (C-C motif) receptor 7 (Ccr7), mRNA. // chr11 // --- // --- // --- // --- // --- /// ENSMUST00000103134 // ensGene // chemokine (C-C motif) receptor 7 [Source:MGI Symbol;Acc:MGI:103011] // chr11 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",1,"main"
