"","X","probeset_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","transcript_cluster_id","seqname","strand","start","stop","total_probes","gene_assignment","mrna_assignment","swissprot","unigene","GO_biological_process","GO_cellular_component","GO_molecular_function","pathway","protein_domains","crosshyb_type","category"
"1",40481,17549014,-6.34610237599633,8.05279016100586,-28.7013743559183,5.56892772659215e-08,0.000767491056186508,-0.0655183439553184,17549014,"RPTR-AB076373-2","+",1,720,25,"RPTR-AB076373-2 // egfp // /FEA=CDS_2 /DB_XREF=BAC00956.1 GI:21623750 /PROD=EGFP /GEN=egfp // --- // ---","RPTR-AB076373-2 // other // /FEA=CDS_2 /DB_XREF=BAC00956.1 GI:21623750 /PROD=EGFP /GEN=egfp // RPTR-AB076373-2 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",3,"reporter"
"2",40542,17549136,-6.34610237599633,8.05279016100586,-28.7013743559183,5.56892772659215e-08,0.000767491056186508,-0.0655183439553184,17549136,"RPTR-U43284-1","+",1,720,25,"RPTR-U43284-1 // gfp // /FEA=CDS /DB_XREF=AAC53659.1 GI:1289375 /PROD=green fluorescent protein, S65T variant /GEN=gfp // --- // ---","RPTR-U43284-1 // other // /FEA=CDS /DB_XREF=AAC53659.1 GI:1289375 /PROD=green fluorescent protein, S65T variant /GEN=gfp // RPTR-U43284-1 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",3,"reporter"
"3",40548,17549148,-6.34610237599633,8.05279016100586,-28.7013743559183,5.56892772659215e-08,0.000767491056186508,-0.0655183439553184,17549148,"RPTR-U57609-1","+",1,720,25,"RPTR-U57609-1 // egfp // /FEA=CDS_1 /DB_XREF=AAB08064.1 GI:1373325 /PROD=Enhanced Green Fluorescent Protein /GEN=egfp // --- // ---","RPTR-U57609-1 // other // /FEA=CDS_1 /DB_XREF=AAB08064.1 GI:1373325 /PROD=Enhanced Green Fluorescent Protein /GEN=egfp // RPTR-U57609-1 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",3,"reporter"
"4",41094,17550478,6.48880750875135,7.33512722665839,23.0902903313145,2.20142170685165e-07,0.00216658552825679,-0.113736205518759,17550478,"Xist","+",1,17918,25,"Xist // Xist // Mouse_NR_001463.3 mm9 chrX:100,655,712-100,678,572 // --- // ---","Xist // other // Mouse_NR_001463.3 mm9 chrX:100,655,712-100,678,572 // Xist // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",3,"rescue"
"5",41077,17550444,6.01662219252827,6.51650079989019,22.4612734858347,2.62013003779996e-07,0.00216658552825679,-0.121402931082662,17550444,"RepA_transcript","+",1,1630,25,"RepA_transcript // RepA_transcript // FJ361197.1 (mouse) mm9 chrX:100,676,608-100,678,237 // --- // ---","RepA_transcript // other // FJ361197.1 (mouse) mm9 chrX:100,676,608-100,678,237 // RepA_transcript // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",3,"rescue"
"6",39190,17543785,6.0563843936846,7.26002757619921,18.3734911886243,9.26343960018754e-07,0.00625946586586044,-0.190734950063676,17543785,"chrX","-",103460373,103483233,21,"NR_001463.3 // Xist // Mus musculus inactive X specific transcripts (Xist), transcript variant 1, non-coding RNA. // --- // --- /// NR_001570.2 // Xist // Mus musculus inactive X specific transcripts (Xist), transcript variant 2, non-coding RNA. // --- // --- /// ENSMUST00000153883 // Xist // inactive X specific transcripts [Source:MGI Symbol;Acc:MGI:98974] // --- // --- /// ENSMUST00000127786 // Xist // inactive X specific transcripts [Source:MGI Symbol;Acc:MGI:98974] // --- // ---","NR_001463.3 // blat // Mus musculus inactive X specific transcripts (Xist), transcript variant 1, non-coding RNA. // chrX // --- // --- // --- // --- // --- /// NR_001570.2 // blat // Mus musculus inactive X specific transcripts (Xist), transcript variant 2, non-coding RNA. // chrX // --- // --- // --- // --- // --- /// ENSMUST00000153883 // ensGene // inactive X specific transcripts [Source:MGI Symbol;Acc:MGI:98974] // chrX // --- // --- // --- // --- // --- /// ENSMUST00000127786 // ensGene // inactive X specific transcripts [Source:MGI Symbol;Acc:MGI:98974] // chrX // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",1,"main"
"7",40510,17549072,-4.8032753448369,7.53909723527876,-17.9831344612965,1.0597717030118e-06,0.00625946586586044,-0.199770731812081,17549072,"RPTR-AY189981-1","+",1,729,29,"RPTR-AY189981-1 // YFP // /FEA=CDS_1 /DB_XREF=AAO48591.1 GI:28864238 /PROD=yellow fluorescent protein /NOTE=YFP reporter /GEN=YFP // --- // ---","RPTR-AY189981-1 // other // /FEA=CDS_1 /DB_XREF=AAO48591.1 GI:28864238 /PROD=yellow fluorescent protein /NOTE=YFP reporter /GEN=YFP // RPTR-AY189981-1 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",3,"reporter"
"8",39495,17546316,-4.22759246618412,5.16501022600576,-16.2868422252428,1.96904132837372e-06,0.0101762517152014,-0.246284468617406,17546316,"chrY","+",1010543,1028594,12,"ENSMUST00000091197 // Eif2s3y // eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked [Source:MGI Symbol;Acc:MGI:1349430] // --- // --- /// NM_012011.1 // Eif2s3y // Mus musculus eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked (Eif2s3y), mRNA. // --- // --- /// ENSMUST00000139083 // Eif2s3y // eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked [Source:MGI Symbol;Acc:MGI:1349430] // --- // ---","ENSMUST00000091197 // ensGene // eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked [Source:MGI Symbol;Acc:MGI:1349430] // chrY // --- // --- // --- // --- // --- /// NM_012011.1 // blat // Mus musculus eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked (Eif2s3y), mRNA. // chrY // --- // --- // --- // --- // --- /// ENSMUST00000139083 // ensGene // eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked [Source:MGI Symbol;Acc:MGI:1349430] // chrY // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",1,"main"
"9",40507,17549066,-4.29730018306271,7.03314491759231,-12.2182498936451,1.16864589463473e-05,0.053686293904081,-0.436641145210609,17549066,"RPTR-AJ510163-3","+",1,795,30,"RPTR-AJ510163-3 // yfp // /FEA=CDS_3 /DB_XREF=CAD53302.1 GI:23821194 REMTREMBL:CAD53302 /PROD=yellow fluorescent protein /GEN=yfp // --- // ---","RPTR-AJ510163-3 // other // /FEA=CDS_3 /DB_XREF=CAD53302.1 GI:23821194 REMTREMBL:CAD53302 /PROD=yellow fluorescent protein /GEN=yfp // RPTR-AJ510163-3 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",3,"reporter"
"10",39612,17546834,-4.56960644380439,5.28810026219304,-10.8409813322448,2.42799131808935e-05,0.100385301046404,-0.546373384765293,17546834,"chrY","-",1260715,1286613,22,"NM_012008.2 // Ddx3y // Mus musculus DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked (Ddx3y), mRNA. // --- // --- /// ENSMUST00000091190 // Ddx3y // DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked [Source:MGI Symbol;Acc:MGI:1349406] // --- // ---","NM_012008.2 // blat // Mus musculus DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked (Ddx3y), mRNA. // chrY // --- // --- // --- // --- // --- /// ENSMUST00000091190 // ensGene // DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked [Source:MGI Symbol;Acc:MGI:1349406] // chrY // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",1,"main"
