"","probeset_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","transcript_cluster_id","seqname","strand","start","stop","total_probes","gene_assignment","mrna_assignment","swissprot","unigene","GO_biological_process","GO_cellular_component","GO_molecular_function","pathway","protein_domains","crosshyb_type","category"
"41094","17550478",-6.80081623668842,7.46523752531059,-39.0740864551034,1.57028750089414e-08,0.000630961848644113,1.3255019487148,17550478,"Xist","+","1","17918","25","Xist // Xist // Mouse_NR_001463.3 mm9 chrX:100,655,712-100,678,572 // --- // ---","Xist // other // Mouse_NR_001463.3 mm9 chrX:100,655,712-100,678,572 // Xist // --- // --- // --- // --- // ---","---","---","---","---","---","---","---","3","rescue"
"39190","17543785",-6.36849770081631,7.29281948946569,-34.6530000668266,3.24781555659991e-08,0.000630961848644113,1.30257515756536,17543785,"chrX","-","103460373","103483233","21","NR_001463.3 // Xist // Mus musculus inactive X specific transcripts (Xist), transcript variant 1, non-coding RNA. // --- // --- /// NR_001570.2 // Xist // Mus musculus inactive X specific transcripts (Xist), transcript variant 2, non-coding RNA. // --- // --- /// ENSMUST00000153883 // Xist // inactive X specific transcripts [Source:MGI Symbol;Acc:MGI:98974] // --- // --- /// ENSMUST00000127786 // Xist // inactive X specific transcripts [Source:MGI Symbol;Acc:MGI:98974] // --- // ---","NR_001463.3 // blat // Mus musculus inactive X specific transcripts (Xist), transcript variant 1, non-coding RNA. // chrX // --- // --- // --- // --- // --- /// NR_001570.2 // blat // Mus musculus inactive X specific transcripts (Xist), transcript variant 2, non-coding RNA. // chrX // --- // --- // --- // --- // --- /// ENSMUST00000153883 // ensGene // inactive X specific transcripts [Source:MGI Symbol;Acc:MGI:98974] // chrX // --- // --- // --- // --- // --- /// ENSMUST00000127786 // ensGene // inactive X specific transcripts [Source:MGI Symbol;Acc:MGI:98974] // chrX // --- // --- // --- // --- // ---","---","---","---","---","---","---","---","1","main"
"41077","17550444",-6.16704249756963,6.54893593050841,-32.7404920845879,4.57826955117266e-08,0.000630961848644113,1.28974913426077,17550444,"RepA_transcript","+","1","1630","25","RepA_transcript // RepA_transcript // FJ361197.1 (mouse) mm9 chrX:100,676,608-100,678,237 // --- // ---","RepA_transcript // other // FJ361197.1 (mouse) mm9 chrX:100,676,608-100,678,237 // RepA_transcript // --- // --- // --- // --- // ---","---","---","---","---","---","---","---","3","rescue"
"39611","17546797",3.36960319382657,5.03068101291939,20.0519053564208,8.783577698956e-07,0.00907892549908339,1.09827407147246,17546797,"chrY","-","1096861","1245759","25","ENSMUST00000143286 // Uty // ubiquitously transcribed tetratricopeptide repeat gene, Y chromosome [Source:MGI Symbol;Acc:MGI:894810] // --- // --- /// NM_009484.2 // Uty // Mus musculus ubiquitously transcribed tetratricopeptide repeat gene, Y chromosome (Uty), mRNA. // --- // --- /// ENSMUST00000069309 // Uty // ubiquitously transcribed tetratricopeptide repeat gene, Y chromosome [Source:MGI Symbol;Acc:MGI:894810] // --- // --- /// ENSMUST00000139365 // Uty // ubiquitously transcribed tetratricopeptide repeat gene, Y chromosome [Source:MGI Symbol;Acc:MGI:894810] // --- // --- /// ENSMUST00000154004 // Uty // ubiquitously transcribed tetratricopeptide repeat gene, Y chromosome [Source:MGI Symbol;Acc:MGI:894810] // --- // --- /// ENSMUST00000170079 // Uty // ubiquitously transcribed tetratricopeptide repeat gene, Y chromosome [Source:MGI Symbol;Acc:MGI:894810] // --- // --- /// ENSMUST00000137048 // Uty // ubiquitously transcribed tetratricopeptide repeat gene, Y chromosome [Source:MGI Symbol;Acc:MGI:894810] // --- // --- /// ENSMUST00000133976 // Uty // ubiquitously transcribed tetratricopeptide repeat gene, Y chromosome [Source:MGI Symbol;Acc:MGI:894810] // --- // --- /// ENSMUST00000157073 // Uty // ubiquitously transcribed tetratricopeptide repeat gene, Y chromosome [Source:MGI Symbol;Acc:MGI:894810] // --- // ---","ENSMUST00000143286 // ensGene // ubiquitously transcribed tetratricopeptide repeat gene, Y chromosome [Source:MGI Symbol;Acc:MGI:894810] // chrY // --- // --- // --- // --- // --- /// NM_009484.2 // blat // Mus musculus ubiquitously transcribed tetratricopeptide repeat gene, Y chromosome (Uty), mRNA. // chrY // --- // --- // --- // --- // --- /// ENSMUST00000069309 // ensGene // ubiquitously transcribed tetratricopeptide repeat gene, Y chromosome [Source:MGI Symbol;Acc:MGI:894810] // chrY // --- // --- // --- // --- // --- /// ENSMUST00000139365 // ensGene // ubiquitously transcribed tetratricopeptide repeat gene, Y chromosome [Source:MGI Symbol;Acc:MGI:894810] // chrY // --- // --- // --- // --- // --- /// ENSMUST00000154004 // ensGene // ubiquitously transcribed tetratricopeptide repeat gene, Y chromosome [Source:MGI Symbol;Acc:MGI:894810] // chrY // --- // --- // --- // --- // --- /// ENSMUST00000170079 // ensGene // ubiquitously transcribed tetratricopeptide repeat gene, Y chromosome [Source:MGI Symbol;Acc:MGI:894810] // chrY // --- // --- // --- // --- // --- /// ENSMUST00000137048 // ensGene // ubiquitously transcribed tetratricopeptide repeat gene, Y chromosome [Source:MGI Symbol;Acc:MGI:894810] // chrY // --- // --- // --- // --- // --- /// ENSMUST00000133976 // ensGene // ubiquitously transcribed tetratricopeptide repeat gene, Y chromosome [Source:MGI Symbol;Acc:MGI:894810] // chrY // --- // --- // --- // --- // --- /// ENSMUST00000157073 // ensGene // ubiquitously transcribed tetratricopeptide repeat gene, Y chromosome [Source:MGI Symbol;Acc:MGI:894810] // chrY // --- // --- // --- // --- // ---","---","---","---","---","---","---","---","1","main"
"39495","17546316",4.26849890199156,5.35257849062499,16.6832340376359,2.6385857136108e-06,0.0218184652658477,0.970110331511726,17546316,"chrY","+","1010543","1028594","12","ENSMUST00000091197 // Eif2s3y // eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked [Source:MGI Symbol;Acc:MGI:1349430] // --- // --- /// NM_012011.1 // Eif2s3y // Mus musculus eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked (Eif2s3y), mRNA. // --- // --- /// ENSMUST00000139083 // Eif2s3y // eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked [Source:MGI Symbol;Acc:MGI:1349430] // --- // ---","ENSMUST00000091197 // ensGene // eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked [Source:MGI Symbol;Acc:MGI:1349430] // chrY // --- // --- // --- // --- // --- /// NM_012011.1 // blat // Mus musculus eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked (Eif2s3y), mRNA. // chrY // --- // --- // --- // --- // --- /// ENSMUST00000139083 // ensGene // eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked [Source:MGI Symbol;Acc:MGI:1349430] // chrY // --- // --- // --- // --- // ---","---","---","---","---","---","---","---","1","main"
"39612","17546834",4.79268868023162,5.57966127228356,16.0665427556404,3.30240847302564e-06,0.0227563463862075,0.938517083782409,17546834,"chrY","-","1260715","1286613","22","NM_012008.2 // Ddx3y // Mus musculus DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked (Ddx3y), mRNA. // --- // --- /// ENSMUST00000091190 // Ddx3y // DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked [Source:MGI Symbol;Acc:MGI:1349406] // --- // ---","NM_012008.2 // blat // Mus musculus DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked (Ddx3y), mRNA. // chrY // --- // --- // --- // --- // --- /// ENSMUST00000091190 // ensGene // DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked [Source:MGI Symbol;Acc:MGI:1349406] // chrY // --- // --- // --- // --- // ---","---","---","---","---","---","---","---","1","main"
"36416","17516438",2.01336079309352,6.67034059120257,14.9069617107622,5.15482786122546e-06,0.0304466225603381,0.869512874689219,17516438,"chr9","+","43310763","43336125","23","NM_023655.2 // Trim29 // Mus musculus tripartite motif-containing 29 (Trim29), mRNA. // --- // --- /// ENSMUST00000034511 // Trim29 // tripartite motif-containing 29 [Source:MGI Symbol;Acc:MGI:1919419] // --- // ---","NM_023655.2 // blat // Mus musculus tripartite motif-containing 29 (Trim29), mRNA. // chr9 // --- // --- // --- // --- // --- /// ENSMUST00000034511 // ensGene // tripartite motif-containing 29 [Source:MGI Symbol;Acc:MGI:1919419] // chr9 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---","1","main"
"10964","17268909",2.48666541476206,5.08356344321515,11.6056774117225,2.25401767773146e-05,0.116490451107259,0.569993631159579,17268909,"chr11","-","98992943","99024189","33","NM_011623.2 // Top2a // Mus musculus topoisomerase (DNA) II alpha (Top2a), mRNA. // --- // --- /// ENSMUST00000068031 // Top2a // topoisomerase (DNA) II alpha [Source:MGI Symbol;Acc:MGI:98790] // --- // --- /// ENSMUST00000154332 // Top2a // topoisomerase (DNA) II alpha [Source:MGI Symbol;Acc:MGI:98790] // --- // --- /// ENSMUST00000167864 // Top2a // topoisomerase (DNA) II alpha [Source:MGI Symbol;Acc:MGI:98790] // --- // --- /// ENSMUST00000139460 // Top2a // topoisomerase (DNA) II alpha [Source:MGI Symbol;Acc:MGI:98790] // --- // --- /// ENSMUST00000151997 // Top2a // topoisomerase (DNA) II alpha [Source:MGI Symbol;Acc:MGI:98790] // --- // --- /// ENSMUST00000144318 // Top2a // topoisomerase (DNA) II alpha [Source:MGI Symbol;Acc:MGI:98790] // --- // --- /// ENSMUST00000139730 // Top2a // topoisomerase (DNA) II alpha [Source:MGI Symbol;Acc:MGI:98790] // --- // --- /// ENSMUST00000129777 // Top2a // topoisomerase (DNA) II alpha [Source:MGI Symbol;Acc:MGI:98790] // --- // ---","NM_011623.2 // blat // Mus musculus topoisomerase (DNA) II alpha (Top2a), mRNA. // chr11 // --- // --- // --- // --- // --- /// ENSMUST00000068031 // ensGene // topoisomerase (DNA) II alpha [Source:MGI Symbol;Acc:MGI:98790] // chr11 // --- // --- // --- // --- // --- /// ENSMUST00000154332 // ensGene // topoisomerase (DNA) II alpha [Source:MGI Symbol;Acc:MGI:98790] // chr11 // --- // --- // --- // --- // --- /// ENSMUST00000167864 // ensGene // topoisomerase (DNA) II alpha [Source:MGI Symbol;Acc:MGI:98790] // chr11 // --- // --- // --- // --- // --- /// ENSMUST00000139460 // ensGene // topoisomerase (DNA) II alpha [Source:MGI Symbol;Acc:MGI:98790] // chr11 // --- // --- // --- // --- // --- /// ENSMUST00000151997 // ensGene // topoisomerase (DNA) II alpha [Source:MGI Symbol;Acc:MGI:98790] // chr11 // --- // --- // --- // --- // --- /// ENSMUST00000144318 // ensGene // topoisomerase (DNA) II alpha [Source:MGI Symbol;Acc:MGI:98790] // chr11 // --- // --- // --- // --- // --- /// ENSMUST00000139730 // ensGene // topoisomerase (DNA) II alpha [Source:MGI Symbol;Acc:MGI:98790] // chr11 // --- // --- // --- // --- // --- /// ENSMUST00000129777 // ensGene // topoisomerase (DNA) II alpha [Source:MGI Symbol;Acc:MGI:98790] // chr11 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---","1","main"
"33521","17489431",1.345054838961,7.61522880615914,8.30298435123201,0.000154855815524266,0.376618452520634,-0.032286547036672,17489431,"chr7","-","31068172","31076704","26","ENSMUST00000167369 // Fxyd3 // FXYD domain-containing ion transport regulator 3 [Source:MGI Symbol;Acc:MGI:107497] // --- // --- /// NM_008557.2 // Fxyd3 // Mus musculus FXYD domain-containing ion transport regulator 3 (Fxyd3), mRNA. // --- // --- /// ENSMUST00000171359 // Fxyd3 // FXYD domain-containing ion transport regulator 3 [Source:MGI Symbol;Acc:MGI:107497] // --- // ---","ENSMUST00000167369 // ensGene // FXYD domain-containing ion transport regulator 3 [Source:MGI Symbol;Acc:MGI:107497] // chr7 // --- // --- // --- // --- // --- /// NM_008557.2 // blat // Mus musculus FXYD domain-containing ion transport regulator 3 (Fxyd3), mRNA. // chr7 // --- // --- // --- // --- // --- /// ENSMUST00000171359 // ensGene // FXYD domain-containing ion transport regulator 3 [Source:MGI Symbol;Acc:MGI:107497] // chr7 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---","1","main"
"25303","17407461",-0.991109313656911,4.82720590939037,-8.07774292893908,0.000180803731076738,0.41254768969655,-0.0930926526105296,17407461,"chr3","-","92763215","92765065","9","NM_026335.2 // Lce1h // Mus musculus late cornified envelope 1H (Lce1h), mRNA. // --- // --- /// ENSMUST00000051521 // Lce1h // late cornified envelope 1H [Source:MGI Symbol;Acc:MGI:1914968] // --- // --- /// ENSMUST00000172161 // Lce1h // late cornified envelope 1H [Source:MGI Symbol;Acc:MGI:1914968] // --- // ---","NM_026335.2 // blat // Mus musculus late cornified envelope 1H (Lce1h), mRNA. // chr3 // --- // --- // --- // --- // --- /// ENSMUST00000051521 // ensGene // late cornified envelope 1H [Source:MGI Symbol;Acc:MGI:1914968] // chr3 // --- // --- // --- // --- // --- /// ENSMUST00000172161 // ensGene // late cornified envelope 1H [Source:MGI Symbol;Acc:MGI:1914968] // chr3 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---","3","main"
"20464","17359098",1.6438332145552,4.32536601867711,8.00983792671304,0.000189585345367867,0.41254768969655,-0.112106546059113,17359098,"chr19","+","38055025","38074425","32","NM_028760.2 // Cep55 // Mus musculus centrosomal protein 55 (Cep55), transcript variant 2, mRNA. // --- // --- /// NM_001164362.1 // Cep55 // Mus musculus centrosomal protein 55 (Cep55), transcript variant 1, mRNA. // --- // --- /// NM_028293.1 // Cep55 // Mus musculus centrosomal protein 55 (Cep55), transcript variant 3, mRNA. // --- // --- /// ENSMUST00000096096 // Cep55 // centrosomal protein 55 [Source:MGI Symbol;Acc:MGI:1921357] // --- // --- /// ENSMUST00000116506 // Cep55 // centrosomal protein 55 [Source:MGI Symbol;Acc:MGI:1921357] // --- // --- /// ENSMUST00000169673 // Cep55 // centrosomal protein 55 [Source:MGI Symbol;Acc:MGI:1921357] // --- // ---","NM_028760.2 // blat // Mus musculus centrosomal protein 55 (Cep55), transcript variant 2, mRNA. // chr19 // --- // --- // --- // --- // --- /// NM_001164362.1 // blat // Mus musculus centrosomal protein 55 (Cep55), transcript variant 1, mRNA. // chr19 // --- // --- // --- // --- // --- /// NM_028293.1 // blat // Mus musculus centrosomal protein 55 (Cep55), transcript variant 3, mRNA. // chr19 // --- // --- // --- // --- // --- /// ENSMUST00000096096 // ensGene // centrosomal protein 55 [Source:MGI Symbol;Acc:MGI:1921357] // chr19 // --- // --- // --- // --- // --- /// ENSMUST00000116506 // ensGene // centrosomal protein 55 [Source:MGI Symbol;Acc:MGI:1921357] // chr19 // --- // --- // --- // --- // --- /// ENSMUST00000169673 // ensGene // centrosomal protein 55 [Source:MGI Symbol;Acc:MGI:1921357] // chr19 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---","1","main"
"22200","17376274",-1.2773564394905,3.98649086341952,-7.77260294670833,0.000224360115424152,0.463808448610578,-0.181148949411445,17376274,"chr2","+","130277697","130277766","24","ENSMUST00000083355 // SNORD56 // Small nucleolar RNA SNORD56  [Source:RFAM;Acc:RF00275] // --- // ---","ENSMUST00000083355 // ensGene // Small nucleolar RNA SNORD56  [Source:RFAM;Acc:RF00275] // chr2 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---","1","main"
"37513","17528586",1.85266220490136,5.57176303021228,7.64566673745991,0.00024595537475834,0.471990155127388,-0.219834145068877,17528586,"chr9","-","70407689","70421554","25","NM_007630.2 // Ccnb2 // Mus musculus cyclin B2 (Ccnb2), mRNA. // --- // --- /// ENSMUST00000034742 // Ccnb2 // cyclin B2 [Source:MGI Symbol;Acc:MGI:88311] // --- // ---","NM_007630.2 // blat // Mus musculus cyclin B2 (Ccnb2), mRNA. // chr9 // --- // --- // --- // --- // --- /// ENSMUST00000034742 // ensGene // cyclin B2 [Source:MGI Symbol;Acc:MGI:88311] // chr9 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---","1","main"
"22786","17382101",0.970033455363475,4.85695299428816,7.55645849013765,0.000262565571844961,0.471990155127388,-0.247781707056999,17382101,"chr2","-","20709375","20713234","25","ENSMUST00000137186 // Gm13362 // predicted gene 13362 [Source:MGI Symbol;Acc:MGI:3652150] // --- // ---","ENSMUST00000137186 // ensGene // predicted gene 13362 [Source:MGI Symbol;Acc:MGI:3652150] // chr2 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---","1","main"
"27901","17434158",1.93327944372871,5.81154742428589,7.3061225344379,0.000316515619166757,0.497073099201271,-0.329719516885358,17434158,"chr4_GL456350_random","-","222627","224577","25","XR_140640.1 // LOC100862170 // PREDICTED: Mus musculus uncharacterized LOC100862170 (LOC100862170), miscRNA. // --- // --- /// XR_140641.1 // LOC100862228 // PREDICTED: Mus musculus uncharacterized LOC100862228 (LOC100862228), miscRNA. // --- // --- /// XR_140642.1 // LOC100862237 // PREDICTED: Mus musculus uncharacterized LOC100862237 (LOC100862237), miscRNA. // --- // --- /// ENSMUST00000172007 // AC087559.4 // --- // --- // ---","XR_140640.1 // blat // PREDICTED: Mus musculus uncharacterized LOC100862170 (LOC100862170), miscRNA. // chr4_GL456350_random // --- // --- // --- // --- // --- /// XR_140641.1 // blat // PREDICTED: Mus musculus uncharacterized LOC100862228 (LOC100862228), miscRNA. // chr4_GL456350_random // --- // --- // --- // --- // --- /// XR_140642.1 // blat // PREDICTED: Mus musculus uncharacterized LOC100862237 (LOC100862237), miscRNA. // chr4_GL456350_random // --- // --- // --- // --- // --- /// ENSMUST00000172007 // ensGene // --- // chr4_GL456350_random // --- // --- // --- // --- // ---","---","---","---","---","---","---","---","3","main"
"16618","17321966",1.29512093987139,9.46781474841335,7.22355426634618,0.000337028274571573,0.497073099201271,-0.357929192727391,17321966,"chr15","-","101707070","101712891","14","NM_027011.2 // Krt5 // Mus musculus keratin 5 (Krt5), mRNA. // --- // --- /// ENSMUST00000023709 // Krt5 // keratin 5 [Source:MGI Symbol;Acc:MGI:96702] // --- // --- /// ENSMUST00000080158 // Krt5 // keratin 5 [Source:MGI Symbol;Acc:MGI:96702] // --- // ---","NM_027011.2 // blat // Mus musculus keratin 5 (Krt5), mRNA. // chr15 // --- // --- // --- // --- // --- /// ENSMUST00000023709 // ensGene // keratin 5 [Source:MGI Symbol;Acc:MGI:96702] // chr15 // --- // --- // --- // --- // --- /// ENSMUST00000080158 // ensGene // keratin 5 [Source:MGI Symbol;Acc:MGI:96702] // chr15 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---","1","main"
"7100","17230223",1.84575276185897,5.81390131696293,7.01832102745258,0.00039497718066769,0.544344384490188,-0.430731690935425,17230223,"chr1","-","176772325","176772423","22","NR_029775.1 // Mir350 // Mus musculus microRNA 350 (Mir350), microRNA. // --- // --- /// ENSMUST00000083639 // Mir350 // microRNA 350 [Source:MGI Symbol;Acc:MGI:3619366] // --- // ---","NR_029775.1 // blat // Mus musculus microRNA 350 (Mir350), microRNA. // chr1 // --- // --- // --- // --- // --- /// ENSMUST00000083639 // ensGene // microRNA 350 [Source:MGI Symbol;Acc:MGI:3619366] // chr1 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---","1","main"
"27184","17426765",1.35487263551127,5.59675068590441,6.95481383130446,0.000415169353588701,0.549290405013448,-0.454062621324783,17426765,"chr4","-","82290173","82705750","30","NM_008687.5 // Nfib // Mus musculus nuclear factor I/B (Nfib), transcript variant 3, mRNA. // --- // --- /// NM_001113209.1 // Nfib // Mus musculus nuclear factor I/B (Nfib), transcript variant 1, mRNA. // --- // --- /// NM_001113210.1 // Nfib // Mus musculus nuclear factor I/B (Nfib), transcript variant 2, mRNA. // --- // --- /// ENSMUST00000050872 // Nfib // nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188] // --- // --- /// ENSMUST00000064770 // Nfib // nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188] // --- // --- /// ENSMUST00000107243 // Nfib // nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188] // --- // --- /// ENSMUST00000107245 // Nfib // nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188] // --- // --- /// ENSMUST00000107246 // Nfib // nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188] // --- // --- /// ENSMUST00000107247 // Nfib // nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188] // --- // --- /// ENSMUST00000107248 // Nfib // nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188] // --- // --- /// ENSMUST00000075543 // Nfib // nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188] // --- // --- /// ENSMUST00000107250 // Nfib // nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188] // --- // --- /// ENSMUST00000152588 // Nfib // nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188] // --- // --- /// ENSMUST00000155821 // Nfib // nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188] // --- // ---","NM_008687.5 // blat // Mus musculus nuclear factor I/B (Nfib), transcript variant 3, mRNA. // chr4 // --- // --- // --- // --- // --- /// NM_001113209.1 // blat // Mus musculus nuclear factor I/B (Nfib), transcript variant 1, mRNA. // chr4 // --- // --- // --- // --- // --- /// NM_001113210.1 // blat // Mus musculus nuclear factor I/B (Nfib), transcript variant 2, mRNA. // chr4 // --- // --- // --- // --- // --- /// ENSMUST00000050872 // ensGene // nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188] // chr4 // --- // --- // --- // --- // --- /// ENSMUST00000064770 // ensGene // nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188] // chr4 // --- // --- // --- // --- // --- /// ENSMUST00000107243 // ensGene // nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188] // chr4 // --- // --- // --- // --- // --- /// ENSMUST00000107245 // ensGene // nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188] // chr4 // --- // --- // --- // --- // --- /// ENSMUST00000107246 // ensGene // nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188] // chr4 // --- // --- // --- // --- // --- /// ENSMUST00000107247 // ensGene // nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188] // chr4 // --- // --- // --- // --- // --- /// ENSMUST00000107248 // ensGene // nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188] // chr4 // --- // --- // --- // --- // --- /// ENSMUST00000075543 // ensGene // nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188] // chr4 // --- // --- // --- // --- // --- /// ENSMUST00000107250 // ensGene // nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188] // chr4 // --- // --- // --- // --- // --- /// ENSMUST00000152588 // ensGene // nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188] // chr4 // --- // --- // --- // --- // --- /// ENSMUST00000155821 // ensGene // nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188] // chr4 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---","1","main"
